snapped_at,price,5ma
2014-06-24 00:00:00 UTC,582.415,588.98234
2014-06-25 00:00:00 UTC,561.4717,583.26568
2014-06-26 00:00:00 UTC,579.5867,580.93168
2014-06-27 00:00:00 UTC,598.2367,581.57168
2014-06-28 00:00:00 UTC,594.8717,583.31636
2014-06-29 00:00:00 UTC,598.4883,586.53102
2014-06-30 00:00:00 UTC,637.755,601.78768
2014-07-01 00:00:00 UTC,643.935,614.65734
2014-07-02 00:00:00 UTC,648.1075,624.6315
2014-07-03 00:00:00 UTC,640.2838,633.71392
2014-07-04 00:00:00 UTC,627.1288,639.44202
2014-07-05 00:00:00 UTC,627.5813,637.40728
2014-07-06 00:00:00 UTC,631.0025,634.82078
2014-07-07 00:00:00 UTC,619.495,629.09828
2014-07-08 00:00:00 UTC,620.0475,625.05102
2014-07-09 00:00:00 UTC,620.16,623.65726
2014-07-10 00:00:00 UTC,615.1275,621.1665
2014-07-11 00:00:00 UTC,630.835,621.133
2014-07-12 00:00:00 UTC,633.638995167974,623.961799033595
2014-07-13 00:00:00 UTC,627.462322819335,625.444763597462
2014-07-14 00:00:00 UTC,618.205026506479,625.053768898758
2014-07-15 00:00:00 UTC,618.9525,625.818768898758
2014-07-16 00:00:00 UTC,614.1475,622.481268898758
2014-07-17 00:00:00 UTC,622.895,620.332469865163
2014-07-18 00:00:00 UTC,627.0188,620.243765301296
2014-07-19 00:00:00 UTC,626.1763,621.83802
2014-07-20 00:00:00 UTC,620.5138,622.15028
2014-07-21 00:00:00 UTC,619.9088,623.30254
2014-07-22 00:00:00 UTC,619.0063,622.5248
2014-07-23 00:00:00 UTC,617.9425,620.70954
2014-07-24 00:00:00 UTC,599.8088,615.43604
2014-07-25 00:00:00 UTC,600.0963,611.35254
2014-07-26 00:00:00 UTC,593.775,606.12578
2014-07-27 00:00:00 UTC,590.3788,600.40028
2014-07-28 00:00:00 UTC,585.2788,593.86754
2014-07-29 00:00:00 UTC,581.7138,590.24854
2014-07-30 00:00:00 UTC,560.7913,582.38754
2014-07-31 00:00:00 UTC,583.18210574319,580.268961148638
2014-08-01 00:00:00 UTC,593.865527395367,580.966306627711
2014-08-02 00:00:00 UTC,588.230699161141,581.55668645994
2014-08-03 00:00:00 UTC,585.5731940767,582.32856527528
2014-08-04 00:00:00 UTC,586.368685911397,587.444042457559
2014-08-05 00:00:00 UTC,582.418626764976,587.291346661916
2014-08-06 00:00:00 UTC,583.325,585.183241182843
2014-08-07 00:00:00 UTC,587.203159018805,584.977733154376
2014-08-08 00:00:00 UTC,590.907270224519,586.04454838394
2014-08-09 00:00:00 UTC,588.107855983576,586.392382398375
2014-08-10 00:00:00 UTC,588.500482554176,587.608753556215
2014-08-11 00:00:00 UTC,573.4063,585.625013556215
2014-08-12 00:00:00 UTC,567.402348220821,581.664851396618
2014-08-13 00:00:00 UTC,543.6675,572.216897351714
2014-08-14 00:00:00 UTC,503.7088,555.337086154999
2014-08-15 00:00:00 UTC,492.28449828283,536.09388930073
2014-08-16 00:00:00 UTC,521.0463,525.62188930073
2014-08-17 00:00:00 UTC,494.7813,511.097679656566
2014-08-18 00:00:00 UTC,459.8863,494.341439656566
2014-08-19 00:00:00 UTC,484.155,490.430679656566
2014-08-20 00:00:00 UTC,514.1863,494.81104
2014-08-21 00:00:00 UTC,515.605,493.72278
2014-08-22 00:00:00 UTC,515.8263,497.93178
2014-08-23 00:00:00 UTC,496.5688,505.26828
2014-08-24 00:00:00 UTC,508.1138,510.06004
2014-08-25 00:00:00 UTC,500.3863,507.30004
2014-08-26 00:00:00 UTC,510.6388,506.3068
2014-08-27 00:00:00 UTC,510.4463,505.2308
2014-08-28 00:00:00 UTC,506.915,507.30004
2014-08-29 00:00:00 UTC,508.0963,507.29654
2014-08-30 00:00:00 UTC,501.53,507.52528
2014-08-31 00:00:00 UTC,480.0263,501.40278
2014-09-01 00:00:00 UTC,475.82,494.47752
2014-09-02 00:00:00 UTC,474.6938,488.03328
2014-09-03 00:00:00 UTC,474.7263,481.35928
2014-09-04 00:00:00 UTC,489.5475,478.96278
2014-09-05 00:00:00 UTC,480.2425,479.00602
2014-09-06 00:00:00 UTC,482.3588,480.31378
2014-09-07 00:00:00 UTC,480.6025,481.49552
