Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,1.019274,1.027221,1.019243,1.019306,1.019306,0
2017-10-20,1.024580,1.024947,1.015569,1.024328,1.024328,0
2017-10-23,1.014610,1.017294,1.012043,1.014137,1.014137,0
2017-10-24,1.015950,1.016570,1.010050,1.015744,1.015744,0
2017-10-25,1.009224,1.011890,1.006137,1.009489,1.009489,0
2017-10-26,1.011450,1.012556,1.003230,1.011347,1.011347,0
2017-10-27,1.002205,1.002506,0.997029,1.001934,1.001934,0
2017-10-30,1.002034,1.003532,1.000430,1.002014,1.002014,0
2017-10-31,1.005015,1.005328,1.000660,1.005308,1.005308,0
2017-11-01,1.002335,1.002416,0.997576,1.002607,1.002607,0
2017-11-02,0.997586,1.005066,0.997586,0.997447,0.997447,0
2017-11-03,1.000751,1.004177,0.997725,1.000741,1.000741,0
2017-11-06,0.999690,1.001783,0.997148,0.999800,0.999800,0
2017-11-07,1.002607,1.002808,0.998133,1.002305,1.002305,0
2017-11-08,1.001924,1.001924,0.999490,1.001803,1.001803,0
2017-11-09,1.000170,1.005591,0.998363,1.000200,1.000200,0
2017-11-10,1.005996,1.007547,1.003250,1.006148,1.006148,0
2017-11-13,1.003522,1.006441,1.001512,1.003613,1.003613,0
2017-11-14,1.003543,1.009591,1.003009,1.003673,1.003673,0
2017-11-15,1.010448,1.015517,1.009092,1.010591,1.010591,0
2017-11-16,null,null,null,null,null,null
2017-11-17,1.006522,1.011951,1.006522,1.006522,1.006522,0
2017-11-20,1.010458,1.012351,1.007577,1.010509,1.010509,0
2017-11-21,1.006938,1.010203,1.005500,1.006948,1.006948,0
2017-11-22,1.009489,1.017915,1.009041,1.009489,1.009489,0
2017-11-23,1.018226,1.020939,1.017656,1.018237,1.018237,0
2017-11-24,1.018672,1.021868,1.017718,1.018776,1.018776,0
2017-11-27,1.020106,1.022704,1.018610,1.020096,1.020096,0
2017-11-28,1.018921,1.020179,1.015641,1.019056,1.019056,0
2017-11-29,1.016333,1.018382,1.013294,1.016157,1.016157,0
2017-11-30,1.015610,1.018651,1.012033,1.015796,1.015796,0
2017-12-01,1.016518,1.026167,1.013274,1.016467,1.016467,0
2017-12-04,1.017946,1.019264,1.014507,1.018299,1.018299,0
2017-12-05,1.015641,1.016673,1.012351,1.015641,1.015641,0
2017-12-06,1.012638,1.014713,1.009265,1.012761,1.012761,0
2017-12-07,1.010673,1.011122,1.006229,1.010897,1.010897,0
2017-12-08,1.005429,1.007486,1.002295,1.005318,1.005318,0
2017-12-11,1.007100,1.010275,1.007100,1.007181,1.007181,0
2017-12-12,1.008553,1.011225,1.006543,1.008685,1.008685,0
2017-12-13,1.008776,1.011787,1.007394,1.008675,1.008675,0
2017-12-14,1.014816,1.016570,1.009826,1.014682,1.014682,0
2017-12-15,1.011204,1.012863,1.006705,1.011429,1.011429,0
2017-12-18,1.008858,1.016157,1.008471,1.009041,1.009041,0
2017-12-19,1.014415,1.016839,1.012320,1.014672,1.014672,0
2017-12-20,1.014693,1.017366,1.011654,1.014816,1.014816,0
2017-12-21,1.013942,1.014919,1.009265,1.013952,1.013952,0
2017-12-22,1.011245,1.011838,1.008990,1.011593,1.011593,0
2017-12-25,1.010918,1.012269,1.010101,1.011041,1.011041,0
2017-12-26,1.011225,1.011531,1.008888,1.011225,1.011225,0
2017-12-27,1.010509,1.013182,1.009805,1.010407,1.010407,0
2017-12-28,1.014250,1.023332,1.014250,1.014405,1.014405,0
2017-12-29,1.021753,1.026905,1.021617,1.021764,1.021764,0
2018-01-01,1.027116,1.027961,1.025746,1.026979,1.026979,0
2018-01-02,1.025957,1.031034,1.025883,1.025936,1.025936,0
2018-01-03,1.029336,1.029654,1.020731,1.029379,1.029379,0
2018-01-04,1.023437,1.027010,1.022579,1.023395,1.023395,0
2018-01-05,1.026273,1.026905,1.022234,1.026273,1.026273,0
2018-01-08,1.025557,1.026167,1.022140,1.025578,1.025578,0
2018-01-09,1.023028,1.024170,1.016188,1.023154,1.023154,0
2018-01-10,1.016353,1.025168,1.015785,1.016487,1.016487,0
2018-01-11,1.022788,1.027644,1.018942,1.022861,1.022861,0
2018-01-12,1.024884,1.031087,1.023583,1.024937,1.024937,0
2018-01-15,1.032951,1.041450,1.032610,1.033165,1.033165,0
2018-01-16,1.038206,1.039631,1.034725,1.038346,1.038346,0
2018-01-17,1.042579,1.044474,1.036291,1.042644,1.042644,0
2018-01-18,1.036183,1.044027,1.035711,1.036216,1.036216,0
2018-01-19,1.042938,1.048658,1.039361,1.043003,1.043003,0
2018-01-22,1.039912,1.042535,1.037592,1.040150,1.040150,0
2018-01-23,1.039609,1.045183,1.038131,1.039447,1.039447,0
2018-01-24,1.045151,1.060434,1.044408,1.045391,1.045391,0
2018-01-25,1.056848,1.076496,1.056491,1.056725,1.056725,0
2018-01-26,1.061797,1.071754,1.061087,1.061797,1.061797,0
2018-01-29,1.071042,1.071237,1.065451,1.071054,1.071054,0
2018-01-30,1.066849,1.074091,1.064736,1.067008,1.067008,0
2018-01-31,1.069942,1.075975,1.068570,1.069988,1.069988,0
2018-02-01,1.073825,1.079133,1.070561,1.074114,1.074114,0
2018-02-02,1.079925,1.080135,1.071260,1.079937,1.079937,0
2018-02-05,1.073964,1.076890,1.066633,1.074022,1.074022,0
2018-02-06,1.073837,1.074552,1.064271,1.073883,1.073883,0
2018-02-07,1.068330,1.070526,1.058302,1.068308,1.068308,0
