Index,ClosingPrice,Prediction,Outcome,ConsecutiveLosses
1395,1.130224,Neutral,Neutral,
1396,1.128363,Neutral,Neutral,
1397,1.13135,Negative,Win,0
1398,1.129688,Neutral,Neutral,
1399,1.135396,Negative,Win,0
1400,1.133042,Neutral,Neutral,
1401,1.136648,Neutral,Neutral,
1402,1.144165,Neutral,Neutral,
1403,1.145712,Positive,Loss,1
1404,1.14107,Positive,Loss,2
1405,1.141057,Neutral,Neutral,
1406,1.132965,Neutral,Neutral,
1407,1.13434,Negative,Win,0
1408,1.131375,Negative,Loss,1
1409,1.134147,Negative,Win,0
1410,1.132413,Neutral,Neutral,
1411,1.130454,Neutral,Neutral,
1412,1.124354,Negative,Win,0
1413,1.114703,Negative,Loss,1
1414,1.115237,Negative,Loss,2
1415,1.122965,Negative,Loss,3
1416,1.127396,Neutral,Neutral,
1417,1.129995,Positive,Win,0
1418,1.143576,Positive,Win,0
1419,1.145515,Positive,Loss,1
1420,1.144296,Positive,Loss,2
1421,1.142126,Positive,Win,0
1422,1.142152,Neutral,Neutral,
1423,1.141553,Neutral,Neutral,
1424,1.136506,Negative,Win,0
1425,1.130633,Negative,Loss,1
1426,1.13568,Negative,Loss,2
1427,1.137527,Negative,Win,0
1428,1.136648,Neutral,Neutral,
1429,1.131721,Neutral,Neutral,
1430,1.130966,Neutral,Neutral,
1431,1.132913,Negative,Win,0
1432,1.130569,Negative,Win,0
1433,1.119069,Negative,Win,0
1434,1.118105,Negative,Loss,1
1435,1.121592,Negative,Win,0
1436,1.113276,Negative,Win,0
1437,1.111235,Negative,Win,0
1438,1.106684,Negative,Win,0
1439,1.087453,Negative,Win,0
1440,1.086531,Negative,Loss,1
1441,1.089823,Negative,Loss,2
1442,1.107383,Negative,Win,0
1443,1.101394,Neutral,Neutral,
1444,1.093207,Neutral,Neutral,
1445,1.094319,Neutral,Neutral,
1446,1.096936,Neutral,Neutral,
1447,1.102196,Neutral,Neutral,
1448,1.109952,Positive,Loss,1
1449,1.104313,Positive,Loss,2
1450,1.101722,Positive,Win,0
1451,1.102974,Neutral,Neutral,
1452,1.100631,Neutral,Neutral,
1453,1.100958,Negative,Win,0
1454,1.098189,Neutral,Neutral,
1455,1.099384,Neutral,Neutral,
1456,1.109152,Neutral,Neutral,
1457,1.116184,Positive,Loss,1
1458,1.107236,Positive,Loss,2
1459,1.104728,Neutral,Neutral,
1460,1.097586,Neutral,Neutral,
1461,1.090643,Negative,Win,0
1462,1.089823,Negative,Win,0
1463,1.086484,Negative,Loss,1
1464,1.088495,Negative,Win,0
1465,1.087796,Negative,Win,0
1466,1.082614,Negative,Loss,1
1467,1.089657,Negative,Win,0
1468,1.082099,Neutral,Neutral,
1469,1.081525,Negative,Win,0
1470,1.078179,Negative,Loss,1
1471,1.079447,Negative,Loss,2
1472,1.084987,Negative,Win,0
1473,1.083518,Neutral,Neutral,
1474,1.081105,Neutral,Neutral,
1475,1.071421,Neutral,Neutral,
1476,1.064362,Negative,Win,0
1477,1.055509,Negative,Win,0
