Date,Open,High,Low,Close
10/22/2024,"2,734.70","2,763.30","2,733.50","2,759.80"
10/21/2024,"2,736.30","2,755.40","2,728.50","2,738.90"
10/18/2024,"2,707.80","2,737.80","2,707.30","2,730.00"
10/17/2024,"2,690.40","2,712.70","2,688.20","2,707.50"
10/16/2024,"2,679.50","2,702.50","2,674.90","2,691.30"
10/15/2024,"2,663.50","2,685.90","2,654.40","2,678.90"
10/14/2024,"2,673.10","2,684.20","2,660.00","2,665.60"
10/11/2024,"2,647.40","2,679.00","2,645.30","2,676.30"
10/10/2024,"2,625.80","2,648.90","2,618.80","2,639.30"
10/09/2024,"2,640.70","2,642.90","2,622.80","2,626.00"
10/08/2024,"2,662.80","2,672.40","2,623.40","2,635.40"
10/07/2024,"2,671.70","2,679.20","2,657.30","2,666.00"
10/04/2024,"2,675.70","2,690.60","2,651.60","2,667.80"
10/03/2024,"2,679.90","2,683.40","2,657.80","2,679.20"
10/02/2024,"2,684.60","2,684.80","2,662.10","2,669.70"
10/01/2024,"2,656.10","2,694.70","2,653.80","2,690.30"
09/30/2024,"2,680.50","2,687.70","2,646.20","2,659.40"
09/27/2024,"2,695.10","2,696.90","2,665.30","2,668.10"
09/26/2024,"2,681.20","2,708.70","2,677.50","2,694.90"
09/25/2024,"2,682.80","2,694.90","2,673.40","2,684.70"
09/24/2024,"2,653.30","2,689.40","2,647.10","2,677.00"
09/23/2024,"2,646.20","2,659.80","2,638.60","2,652.50"
09/20/2024,"2,611.20","2,651.00","2,608.70","2,646.20"
09/19/2024,"2,585.10","2,620.50","2,575.30","2,614.60"
09/18/2024,"2,596.00","2,627.20","2,572.50","2,598.60"
09/17/2024,"2,609.80","2,613.70","2,587.30","2,592.40"
09/16/2024,"2,608.00","2,617.40","2,602.50","2,608.90"
09/13/2024,"2,587.50","2,614.60","2,585.00","2,610.70"
09/12/2024,"2,540.60","2,588.50","2,538.70","2,580.60"
09/11/2024,"2,545.70","2,558.00","2,529.00","2,542.40"
09/10/2024,"2,536.00","2,547.50","2,528.90","2,543.10"
09/09/2024,"2,526.50","2,536.50","2,514.20","2,532.70"
09/06/2024,"2,547.10","2,559.80","2,513.90","2,524.60"
09/05/2024,"2,526.40","2,554.00","2,523.70","2,543.10"
09/04/2024,"2,524.60","2,531.50","2,502.70","2,526.00"
09/03/2024,"2,531.80","2,538.50","2,504.40","2,523.00"
08/30/2024,"2,553.60","2,560.10","2,526.60","2,527.60"
08/29/2024,"2,539.20","2,562.20","2,536.50","2,560.30"
08/28/2024,"2,559.80","2,564.30","2,527.80","2,537.80"
08/27/2024,"2,553.80","2,561.40","2,538.50","2,552.90"
08/26/2024,"2,545.10","2,563.20","2,544.00","2,555.20"
08/23/2024,"2,521.10","2,554.50","2,519.80","2,546.30"
08/22/2024,"2,549.90","2,551.40","2,506.40","2,516.70"
08/21/2024,"2,552.20","2,558.00","2,528.20","2,547.50"
08/20/2024,"2,542.40","2,570.40","2,535.10","2,550.60"
08/19/2024,"2,549.70","2,549.90","2,523.70","2,541.30"
08/16/2024,"2,494.40","2,548.30","2,488.20","2,537.80"
08/15/2024,"2,486.20","2,508.00","2,469.20","2,492.40"
08/14/2024,"2,506.30","2,519.70","2,476.20","2,479.70"
08/13/2024,"2,512.60","2,517.30","2,498.20","2,507.80"
08/12/2024,"2,470.10","2,513.40","2,462.70","2,504.00"
08/09/2024,"2,467.30","2,476.50","2,456.10","2,473.40"
08/08/2024,"2,422.80","2,467.90","2,420.20","2,463.30"
08/07/2024,"2,432.60","2,447.30","2,418.80","2,432.40"
08/06/2024,"2,451.70","2,459.50","2,421.80","2,431.60"
08/05/2024,"2,490.30","2,500.80","2,403.80","2,444.40"
08/02/2024,"2,490.80","2,522.50","2,453.10","2,469.80"
08/01/2024,"2,493.40","2,506.60","2,474.00","2,480.80"
07/31/2024,"2,455.60","2,496.60","2,449.20","2,473.00"
07/30/2024,"2,429.00","2,458.30","2,421.50","2,451.90"
07/29/2024,"2,386.90","2,402.10","2,367.30","2,377.80"
07/26/2024,"2,363.80","2,389.70","2,354.60","2,381.00"
