age: 213, balance: 283.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 214, balance: 284.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 215, balance: 283.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 216, balance: 282.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 217, balance: 281.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 218, balance: 282.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 219, balance: 280.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 220, balance: 281.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 221, balance: 280.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 222, balance: 276.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 223, balance: 275.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 224, balance: 273.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 225, balance: 265.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 226, balance: 263.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 227, balance: 267.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 228, balance: 283.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 229, balance: 287.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 230, balance: 288.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 231, balance: 289.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 232, balance: 288.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 233, balance: 289.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 234, balance: 290.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 235, balance: 291.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 236, balance: 290.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 237, balance: 291.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 238, balance: 292.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 239, balance: 290.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 240, balance: 291.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 241, balance: 292.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 242, balance: 296.0, currentnode: 1, lastnode: 0, lastoutcome: True
age: 243, balance: 297.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 244, balance: 296.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 245, balance: 295.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 246, balance: 294.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 247, balance: 292.0, currentnode: 0, lastnode: 2, lastoutcome: False
age: 248, balance: 290.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 249, balance: 288.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 250, balance: 292.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 251, balance: 288.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 252, balance: 292.0, currentnode: 2, lastnode: 1, lastoutcome: True
age: 253, balance: 293.0, currentnode: 0, lastnode: 2, lastoutcome: True
age: 254, balance: 285.0, currentnode: 1, lastnode: 0, lastoutcome: False
age: 255, balance: 284.0, currentnode: 2, lastnode: 1, lastoutcome: False
age: 256, balance: 285.0, currentnode: 0, lastnode: 2, lastoutcome: True
